ID,gender,ugpa,lsat,grad,fulltime,fam_inc,law_school_tier,race,pass_bar,bar_passed_attempt,birth_year
1147,male,3.5,43,yes,yes,4,5,white,yes,first attempt,1968
1161,male,3.5,31,yes,yes,3,5,hisp,yes,first attempt,1970
1178,female,3.5,42,yes,yes,2,4,white,yes,first attempt,1954
1189,male,3.5,35,yes,no,3,3,white,yes,second attempt,1955
1191,male,3.5,43.5,yes,yes,5,5,white,yes,first attempt,1969
1194,male,3.5,29,yes,yes,4,2,white,yes,first attempt,1969
1200,female,3.5,38,yes,yes,3,4,white,yes,first attempt,1949
1211,male,3.5,37,yes,yes,4,3,white,yes,first attempt,1969
1253,male,3.5,40,yes,yes,3,3,white,yes,first attempt,1962
1280,male,3.5,44,yes,yes,3,6,white,yes,second attempt,1969
1300,male,3.5,43,yes,yes,3,4,white,yes,first attempt,1967
1343,male,3.5,37,yes,yes,NA,5,black,yes,second attempt,1968
1348,male,3.5,38,yes,yes,3,3,white,yes,first attempt,1966
1390,female,3.5,41,yes,yes,5,4,white,yes,first attempt,1970
1397,male,3.5,45,yes,yes,2,3,white,no,no pass,1956
1399,male,3.5,32.5,yes,yes,4,3,white,yes,first attempt,1968
1409,male,3.5,35,yes,yes,5,4,white,yes,first attempt,1969
1427,female,3.5,29,yes,yes,4,1,white,no,no pass,1966
1460,female,3.5,32,yes,yes,4,4,white,yes,first attempt,1964
1462,female,3.5,39,yes,yes,4,3,white,yes,first attempt,1969
1466,male,3.5,40,yes,yes,4,5,white,yes,first attempt,1961
1525,male,3.5,45,yes,yes,4,6,white,yes,first attempt,1968
1527,female,3.5,35,yes,yes,2,4,white,yes,first attempt,1964
1562,male,3.5,29,yes,yes,3,3,white,yes,first attempt,1968
1566,male,3.5,46,yes,yes,5,5,white,yes,first attempt,1969
1581,female,3.5,44,yes,yes,3,4,white,yes,first attempt,1969
1583,female,3.5,40,yes,yes,NA,4,white,yes,first attempt,1968
1593,female,3.5,42,yes,yes,4,3,white,yes,first attempt,1969
1596,female,3.5,32,yes,yes,4,4,white,yes,first attempt,1969
1621,female,3.5,43,yes,yes,4,5,white,yes,first attempt,1969
1625,female,3.5,30.5,yes,yes,3,3,white,yes,first attempt,1968
1634,female,3.5,35,yes,yes,1,3,white,yes,first attempt,1960
1636,male,3.5,34,yes,yes,3,3,white,yes,first attempt,1969
1678,female,3.5,38,yes,yes,3,4,white,yes,first attempt,1969
1698,female,3.5,33,yes,yes,3,5,white,yes,first attempt,1970
1729,male,3.5,36,yes,yes,3,5,white,yes,first attempt,1965
1738,male,3.5,41,yes,yes,4,5,white,yes,first attempt,1968
1743,male,3.5,43,yes,yes,NA,4,white,yes,first attempt,1968
1746,female,3.5,40,yes,yes,4,3,white,yes,first attempt,1960
1792,male,3.5,23.3,yes,yes,2,1,black,yes,first attempt,1968
1812,female,3.5,42,yes,yes,4,5,white,yes,first attempt,1969
1825,male,3.5,47,yes,no,3,5,white,yes,first attempt,1962
1873,male,3.5,43,yes,yes,5,4,white,yes,first attempt,1969
1874,female,3.5,34,yes,yes,3,4,white,yes,first attempt,1959
1876,male,3.5,30,yes,yes,4,3,white,yes,first attempt,1970
1888,female,3.5,38,yes,yes,4,3,white,yes,first attempt,1969
1894,male,3.5,44,yes,yes,3,6,white,yes,first attempt,1962
1897,male,3.5,43,yes,yes,4,6,white,yes,first attempt,1969
1901,male,3.5,45,yes,yes,4,3,white,yes,first attempt,1968
1915,male,3.5,33,yes,yes,3,6,white,yes,first attempt,1969
1955,male,3.5,38,yes,yes,3,3,white,yes,first attempt,1951
1964,female,3.5,41,yes,yes,4,3,white,yes,first attempt,1969
1995,male,3.5,37,yes,yes,3,4,white,yes,first attempt,1968
2000,female,3.5,25,yes,yes,5,4,white,no,no pass,1962
2004,female,3.5,40,yes,yes,3,4,hisp,yes,first attempt,1969
2007,female,3.5,40,yes,yes,3,4,white,yes,first attempt,1967
2012,male,3.5,33,yes,yes,4,4,white,yes,second attempt,1968
2022,male,3.5,48,yes,yes,5,6,white,yes,second attempt,1969
2032,female,3.5,34,yes,yes,3,5,white,yes,first attempt,1968
2035,female,3.5,31.5,yes,yes,4,5,white,yes,first attempt,1966
2036,female,3.5,33,yes,yes,3,5,white,yes,first attempt,1969
2039,male,3.5,43,yes,yes,4,3,white,yes,first attempt,1967
2051,female,3.5,39,yes,yes,4,3,white,yes,first attempt,1966
2089,male,3.5,43,yes,yes,3,5,white,yes,first attempt,1969
2118,female,3.5,39,yes,yes,2,5,white,yes,first attempt,1956
2128,male,3.5,44,yes,yes,5,6,white,yes,first attempt,1969
2159,male,3.5,32,yes,yes,4,2,white,yes,first attempt,1969
2176,female,3.5,35,yes,yes,3,2,white,yes,first attempt,1968
2184,male,3.5,39.5,yes,yes,2,6,asian,yes,first attempt,1969
2200,female,3.5,42,yes,yes,3,6,white,yes,first attempt,1969
2211,female,3.5,33,yes,yes,4,4,hisp,yes,first attempt,1969
2236,female,3.5,26,yes,yes,1,4,white,yes,second attempt,1968
2238,female,3.5,39,yes,yes,4,4,white,yes,first attempt,1949
2260,female,3.5,35.5,yes,yes,4,5,white,yes,first attempt,1969
2278,male,3.5,33,yes,yes,3,4,white,yes,first attempt,1968
2296,male,3.5,41,yes,yes,4,6,white,yes,first attempt,1968
2308,female,3.5,42,yes,yes,4,2,white,yes,first attempt,1966
2356,female,3.5,45,yes,yes,2,6,white,yes,first attempt,1965
2360,male,3.5,32,yes,yes,2,1,black,yes,first attempt,1970
2372,male,3.5,37,yes,yes,2,4,white,yes,first attempt,1960
2383,male,3.5,38,yes,yes,4,3,white,yes,first attempt,1967
2386,female,3.5,42,yes,yes,4,3,white,yes,first attempt,1967
2394,male,3.5,40,yes,yes,4,1,white,yes,first attempt,1966
2455,female,3.5,28,yes,yes,3,5,white,yes,first attempt,1969
2469,male,3.5,42,yes,yes,2,4,white,yes,first attempt,1959
2490,male,3.5,45,yes,yes,4,6,white,yes,first attempt,1952
2492,female,3.5,35,yes,yes,4,3,white,yes,first attempt,1969
2511,male,3.5,39,yes,yes,4,4,white,yes,first attempt,1967
2524,male,3.5,39,yes,no,2,5,white,yes,first attempt,1959
2535,male,3.5,38,yes,yes,4,6,white,yes,first attempt,1968
2550,female,3.5,39,yes,yes,3,5,white,yes,first attempt,1969
2553,female,3.5,39,yes,yes,3,5,white,yes,first attempt,1968
2561,male,3.5,39,yes,yes,3,4,white,no,no pass,1951
2575,female,3.5,34,yes,yes,4,4,white,yes,first attempt,1968
2577,male,3.5,46,yes,yes,5,6,white,yes,first attempt,1966
2595,female,3.5,45,yes,yes,3,3,white,yes,first attempt,1969
2598,female,3.5,41,yes,yes,4,5,asian,yes,second attempt,1969
2602,male,3.5,32,yes,yes,3,2,white,yes,first attempt,1961
2606,female,3.5,37,yes,yes,4,4,white,yes,first attempt,1969
2626,female,3.5,42,yes,yes,4,5,white,yes,first attempt,1969
2628,male,3.5,29,yes,yes,3,3,white,yes,first attempt,1967
2630,male,3.5,34,yes,yes,3,3,white,yes,first attempt,1969
2633,male,3.5,40,yes,yes,3,3,white,yes,first attempt,1968
2634,female,3.5,41,yes,yes,5,4,white,yes,first attempt,1969
2686,male,3.5,44,yes,yes,4,6,white,yes,first attempt,1968
2703,male,3.5,45,yes,yes,NA,4,NA,yes,first attempt,1970
2704,male,3.5,36,yes,yes,4,4,white,yes,first attempt,1969
2725,male,3.5,31,yes,yes,3,3,white,yes,first attempt,1966
2731,female,3.5,32.5,yes,yes,2,5,black,yes,first attempt,1967
2754,male,3.5,40,yes,yes,3,5,white,yes,first attempt,1970
2783,female,3.5,36,yes,yes,4,3,white,yes,first attempt,1969
2785,male,3.5,41,yes,yes,3,4,white,yes,first attempt,1951
2812,female,3.5,33,yes,yes,4,3,white,yes,first attempt,1969
2833,female,3.5,32,yes,yes,3,3,white,yes,first attempt,1968
2841,male,3.5,44,yes,yes,4,5,white,yes,first attempt,1967
2851,female,3.5,42,yes,yes,4,5,white,yes,first attempt,1968
2863,female,3.5,39,yes,yes,3,3,white,yes,first attempt,1969
2871,female,3.5,48,yes,yes,4,4,white,yes,first attempt,1968
2874,male,3.5,42,yes,yes,4,4,white,yes,first attempt,1969
2891,male,3.5,38,yes,yes,4,4,white,yes,first attempt,1969
2934,female,3.5,39,yes,yes,4,6,white,yes,first attempt,1960
2937,male,3.5,42,yes,yes,4,6,white,yes,first attempt,1965
2944,female,3.5,46,yes,yes,4,6,asian,yes,first attempt,1967
2952,male,3.5,41,yes,yes,4,5,white,yes,first attempt,1961
2973,male,3.5,39,yes,yes,3,4,white,yes,first attempt,1965
2974,female,3.5,32,yes,yes,4,3,white,yes,first attempt,1968
2999,male,3.5,42,yes,yes,4,6,white,yes,first attempt,1969
3005,female,3.5,40,yes,yes,3,5,white,yes,first attempt,1964
3015,female,3.5,42,yes,no,4,3,white,yes,first attempt,1963
3016,male,3.5,40.5,yes,yes,4,5,white,yes,first attempt,1968
3028,male,3.5,41,yes,yes,3,4,white,yes,first attempt,1968
3049,male,3.5,38,yes,yes,4,3,white,yes,first attempt,1969
3062,female,3.5,33,yes,yes,3,3,white,yes,first attempt,1957
3082,male,3.5,37,yes,yes,3,4,white,yes,first attempt,1968
3110,female,3.5,41,yes,yes,4,5,white,yes,first attempt,1967
3114,female,3.5,37,yes,yes,3,4,white,yes,first attempt,1965
3127,female,3.5,39.5,yes,yes,3,3,white,yes,first attempt,1968
3198,female,3.5,39,yes,yes,2,4,white,yes,first attempt,1956
3220,male,3.5,33,yes,yes,4,3,white,yes,first attempt,1969
3244,male,3.5,35.5,yes,yes,3,3,white,yes,first attempt,1969
3257,female,3.5,32,yes,yes,3,3,white,yes,first attempt,1967
3260,female,3.5,41,yes,yes,4,4,white,yes,first attempt,1969
3293,female,3.5,34,yes,yes,2,3,white,yes,first attempt,1950
3298,male,3.5,33,yes,yes,2,5,white,yes,first attempt,1965
3302,female,3.5,36,yes,yes,3,3,white,yes,first attempt,1968
3311,female,3.5,41,yes,yes,4,4,white,yes,first attempt,1968
3321,male,3.5,34,yes,yes,2,5,white,yes,first attempt,1967
3335,female,3.5,31,yes,yes,3,3,white,yes,first attempt,1951
3346,female,3.5,47,yes,yes,3,6,white,yes,first attempt,1966
3360,female,3.5,37,yes,yes,3,5,white,yes,first attempt,1956
3361,female,3.5,31,yes,yes,4,2,white,yes,first attempt,1969
3376,male,3.5,31,yes,yes,3,5,white,yes,first attempt,1969
3386,male,3.5,48,yes,yes,5,4,white,yes,first attempt,1968
3391,male,3.5,47,yes,yes,3,4,white,yes,first attempt,1962
3398,male,3.5,42,yes,yes,3,2,white,yes,first attempt,1969
3405,female,3.5,35.5,no,no,3,5,white,yes,first attempt,1957
3407,female,3.5,34,yes,yes,3,4,asian,yes,first attempt,1961
3411,female,3.5,31.5,yes,yes,2,2,white,yes,first attempt,1960
3422,female,3.5,34,yes,yes,3,3,white,yes,first attempt,1966
3436,male,3.5,46,yes,yes,4,5,white,yes,first attempt,1969
3448,female,3.5,31,yes,yes,3,4,white,no,no pass,1954
3470,female,3.5,36,yes,yes,4,3,white,yes,first attempt,1958
3498,male,3.5,46,yes,yes,4,6,white,yes,first attempt,1969
3520,male,3.5,43,yes,no,4,3,white,yes,first attempt,1963
3529,female,3.5,46,yes,yes,4,5,white,yes,first attempt,1965
3551,female,3.5,22,yes,yes,4,3,black,no,no pass,1971
3567,male,3.5,32,yes,no,3,5,white,yes,second attempt,1958
3570,female,3.5,38,yes,no,2,4,white,yes,first attempt,1965
3587,male,3.5,48,yes,yes,4,6,white,yes,first attempt,1968
3600,male,3.5,38,yes,yes,3,4,white,yes,first attempt,1969
3613,male,3.5,33,yes,no,3,4,white,yes,first attempt,1967
3665,female,3.5,42,yes,yes,3,4,white,yes,first attempt,1967
3672,female,3.5,38,yes,yes,3,4,asian,yes,first attempt,1966
3690,female,3.5,42,yes,yes,5,5,white,yes,first attempt,1969
3703,male,3.5,38,yes,yes,4,5,white,yes,first attempt,1969
3738,female,3.5,42,yes,yes,3,4,white,yes,first attempt,1969
3761,male,3.5,39.5,yes,yes,4,4,white,yes,first attempt,1969
3772,male,3.5,29,yes,yes,4,2,white,yes,first attempt,1969
3775,female,3.5,30,yes,yes,3,3,asian,yes,first attempt,1969
3776,female,3.5,41,yes,yes,2,6,white,yes,first attempt,1969
3789,male,3.5,42,yes,yes,5,6,white,yes,first attempt,1968
3792,female,3.5,36,yes,yes,3,3,white,yes,first attempt,1970
3794,female,3.5,37,yes,yes,3,4,white,yes,first attempt,1969
3804,male,3.5,38,yes,yes,3,5,asian,yes,first attempt,1963
3805,male,3.5,45,yes,yes,3,5,white,yes,first attempt,1967
3831,female,3.5,43,yes,yes,1,4,white,yes,first attempt,1966
3837,female,3.5,37,yes,no,4,3,white,yes,first attempt,1952
3838,female,3.5,39,yes,yes,4,5,white,yes,first attempt,1966
3856,male,3.5,38,yes,yes,4,4,white,yes,first attempt,1960
3863,female,3.5,30,yes,yes,5,3,white,yes,first attempt,1969
3877,female,3.5,33,yes,yes,4,3,white,yes,first attempt,1954
3894,female,3.5,39,yes,yes,3,4,white,yes,first attempt,1953
3901,male,3.5,42,yes,yes,4,3,white,yes,first attempt,1968
3910,male,3.5,36,yes,yes,3,4,white,no,no pass,1958
3914,female,3.5,30.5,yes,yes,3,2,white,yes,first attempt,1969
3934,female,3.5,36,yes,no,4,3,white,yes,second attempt,1967
3963,female,3.5,45,yes,yes,4,5,white,yes,first attempt,1969
3990,male,3.5,29,yes,yes,5,3,white,yes,second attempt,1968
3993,male,3.5,43,yes,yes,5,3,white,yes,first attempt,1965
4011,male,3.5,48,yes,yes,4,6,white,yes,first attempt,1968
4012,male,3.5,35.5,yes,yes,4,3,white,yes,first attempt,1969
4018,female,3.5,40,yes,yes,3,5,white,yes,first attempt,1969
4022,female,3.5,40,yes,yes,2,4,white,yes,first attempt,1966
4061,female,3.5,38,yes,no,1,5,white,yes,first attempt,1966
4062,male,3.5,44,yes,yes,3,4,white,yes,first attempt,1969
4075,female,3.5,33,yes,yes,5,3,asian,yes,first attempt,1961
4090,male,3.5,34,yes,yes,4,6,hisp,yes,first attempt,1968
4098,male,3.5,37,yes,yes,4,4,white,yes,first attempt,1969
4125,male,3.5,38,yes,yes,4,3,white,yes,first attempt,1969
4165,male,3.5,44,yes,yes,4,5,white,yes,first attempt,1968
4178,female,3.5,39,yes,yes,5,6,white,yes,first attempt,1969
4204,female,3.5,26,yes,yes,3,4,black,yes,first attempt,1969
4286,female,3.5,40,yes,yes,4,3,white,yes,first attempt,1968
4291,male,3.5,43.5,yes,yes,3,6,white,yes,first attempt,1964
4292,female,3.5,42,yes,yes,4,6,white,yes,first attempt,1969
4341,female,3.5,37,yes,yes,4,4,white,yes,first attempt,1969
4343,male,3.5,40,yes,yes,4,5,white,yes,first attempt,1968
4347,female,3.5,41,yes,yes,4,3,white,yes,first attempt,1968
4366,male,3.5,39,yes,yes,4,6,white,yes,first attempt,1969
4380,male,3.5,39,yes,yes,3,6,white,yes,first attempt,1963
4385,male,3.5,30.5,yes,yes,4,4,white,yes,first attempt,1969
4440,male,3.5,38,yes,yes,4,6,white,yes,first attempt,1965
4458,female,3.5,34,yes,yes,3,3,white,yes,first attempt,1968
4470,male,3.5,36,yes,yes,4,3,white,yes,first attempt,1967
4473,female,3.5,46,yes,yes,3,5,white,yes,first attempt,1966
4474,female,3.5,37,yes,yes,3,4,white,no,no pass,1968
4478,female,3.5,44,yes,yes,3,3,white,yes,first attempt,1966
4494,female,3.5,43,yes,yes,1,5,white,yes,first attempt,1951
4546,male,3.5,32,yes,yes,3,3,hisp,yes,second attempt,1964
4555,female,3.5,42,yes,yes,4,5,white,yes,first attempt,1969
4569,female,3.5,42,yes,yes,4,6,white,yes,first attempt,1968
4576,female,3.5,45,yes,yes,4,6,white,yes,first attempt,1968
4601,female,3.5,35.5,yes,yes,3,3,white,yes,first attempt,1966
4629,female,3.5,34,yes,yes,4,3,white,yes,first attempt,1969
4640,male,3.5,39,yes,yes,4,4,white,yes,first attempt,1968
4657,male,3.5,43,yes,yes,3,6,white,yes,first attempt,1967
4661,female,3.5,40,yes,yes,3,4,white,yes,first attempt,1966
4700,female,3.5,44,yes,yes,4,5,white,yes,first attempt,1968
4704,female,3.5,35,yes,no,4,3,white,yes,first attempt,1969
4728,female,3.5,37,yes,yes,4,4,white,yes,first attempt,1959
4757,female,3.5,33,yes,yes,3,5,white,yes,first attempt,1969
4760,male,3.5,35,yes,yes,3,3,white,yes,first attempt,1969
4761,male,3.5,38,yes,yes,5,5,white,yes,first attempt,1968
4764,female,3.5,37,yes,yes,2,3,white,yes,first attempt,1961
4779,female,3.5,40,yes,yes,4,5,white,yes,first attempt,1967
4782,male,3.5,33,yes,yes,3,3,white,yes,first attempt,1959
4796,male,3.5,38.5,yes,yes,4,3,white,yes,first attempt,1968
4799,female,3.5,33,yes,yes,4,4,white,yes,first attempt,1966
4812,male,3.5,45,yes,yes,4,5,white,yes,first attempt,1968
4814,female,3.5,48,yes,yes,NA,6,white,yes,first attempt,1969
4815,male,3.5,30,yes,yes,3,6,white,yes,first attempt,1966
4824,female,3.5,31,yes,yes,2,4,white,yes,first attempt,1957
4834,female,3.5,40,yes,yes,2,4,white,yes,first attempt,1968
4848,male,3.5,46,yes,yes,4,6,white,yes,first attempt,1968
4858,male,3.5,44,yes,yes,5,4,other,yes,first attempt,1969
4864,male,3.5,28,yes,yes,2,3,white,yes,first attempt,1963
4867,female,3.5,37,yes,yes,4,4,white,yes,first attempt,1969
4876,male,3.5,34,yes,yes,5,3,white,yes,first attempt,1966
4899,female,3.5,29,yes,yes,3,1,white,yes,second attempt,1967
4907,male,3.5,35,yes,yes,4,3,white,yes,first attempt,1968
4913,female,3.5,28,yes,yes,4,3,hisp,yes,second attempt,1967
4915,male,3.5,38,yes,yes,4,4,white,yes,first attempt,1967
4945,male,3.5,36.3,yes,yes,2,4,white,yes,second attempt,1968
4966,male,3.5,41,yes,yes,3,3,white,yes,first attempt,1965
4967,male,3.5,46,yes,yes,4,6,white,yes,second attempt,1968
4968,male,3.5,38,yes,yes,4,5,white,yes,first attempt,1964
4990,male,3.5,37,yes,yes,4,3,white,yes,second attempt,1969
5004,female,3.5,33,yes,yes,NA,5,white,yes,first attempt,1967
5012,male,3.5,37,yes,yes,4,3,white,yes,first attempt,1968
5021,female,3.5,41,yes,yes,3,4,white,yes,first attempt,1969
5047,male,3.5,42,yes,yes,4,4,white,yes,first attempt,1969
5058,female,3.5,37.5,yes,yes,3,3,white,no,no pass,1969
5060,female,3.5,34,yes,yes,3,5,white,yes,first attempt,1969
5070,female,3.5,37,yes,yes,4,4,white,yes,first attempt,1965
5074,male,3.5,45,yes,yes,2,4,white,yes,first attempt,1969
5094,female,3.5,39,yes,yes,4,3,white,yes,first attempt,1966
5143,male,3.5,38,yes,yes,4,4,white,yes,first attempt,1970
5153,male,3.5,48,yes,yes,3,5,white,yes,second attempt,1969
5154,male,3.5,46,yes,yes,4,6,white,yes,first attempt,1969
5156,female,3.5,42,yes,yes,4,4,white,yes,first attempt,1969
5171,male,3.5,44,yes,yes,4,6,white,yes,first attempt,1967
5177,female,3.5,42,yes,yes,4,6,white,yes,first attempt,1966
5184,female,3.5,35,yes,yes,3,4,white,yes,first attempt,1963
5185,male,3.5,41,yes,yes,4,6,asian,yes,first attempt,1967
5224,female,3.5,38,yes,yes,3,3,white,yes,first attempt,1969
5226,female,3.5,40,yes,yes,5,2,white,yes,first attempt,1970
5247,female,3.5,41,yes,yes,3,4,white,yes,first attempt,1969
5252,male,3.5,41,yes,yes,4,4,white,yes,first attempt,1969
5305,male,3.5,40,yes,yes,5,4,white,yes,first attempt,1969
5309,female,3.5,37.5,yes,yes,3,4,white,yes,first attempt,1969
5312,female,3.5,44,yes,yes,4,5,white,yes,first attempt,1969
5327,male,3.5,41,yes,yes,3,4,white,yes,first attempt,1965
5337,female,3.5,45,yes,yes,3,4,white,yes,first attempt,1966
5358,male,3.5,40,yes,yes,3,3,white,yes,second attempt,1969
5367,male,3.5,40,yes,yes,2,4,white,yes,first attempt,1964
5379,female,3.5,24,yes,yes,3,4,black,yes,first attempt,1961
5405,male,3.5,36,yes,yes,3,5,asian,yes,first attempt,1968
5407,female,3.5,32,yes,yes,2,3,hisp,yes,first attempt,1964
5410,male,3.5,17,yes,no,2,NA,white,no,no pass,1962
5416,male,3.5,36,yes,yes,4,6,white,yes,first attempt,1964
5422,male,3.5,46,yes,yes,4,6,white,yes,first attempt,1968
5438,female,3.5,34,yes,yes,3,3,white,yes,first attempt,1953
5447,male,3.5,38,yes,yes,4,3,white,yes,first attempt,1968
5452,male,3.5,35.5,yes,yes,4,6,white,yes,first attempt,1969
5455,female,3.5,30,yes,yes,NA,4,black,yes,first attempt,1967
5478,female,3.5,34,yes,yes,4,4,white,yes,first attempt,1969
5505,female,3.5,30,yes,yes,4,3,white,yes,first attempt,1969
5516,female,3.5,37,yes,yes,2,2,white,yes,first attempt,1970
5535,female,3.5,36,yes,yes,3,4,white,yes,second attempt,1969
5539,female,3.5,47,yes,yes,5,5,white,yes,first attempt,1967
5558,male,3.5,27,yes,yes,4,3,white,yes,first attempt,1968
5602,male,3.5,40,yes,yes,3,5,white,yes,first attempt,1964
5606,female,3.5,45,yes,yes,4,6,white,yes,first attempt,1969
5614,male,3.5,45,yes,yes,4,6,white,yes,first attempt,1969
5616,male,3.5,34,yes,yes,4,3,white,yes,first attempt,1969
5618,male,3.5,30,yes,yes,3,4,white,yes,first attempt,1964
5628,female,3.5,36,yes,yes,5,6,white,yes,first attempt,1967
5630,female,3.5,38,yes,yes,4,3,white,yes,first attempt,1969
5640,male,3.5,48,yes,yes,4,5,white,yes,first attempt,1969
5683,male,3.5,46,yes,yes,4,6,white,yes,first attempt,1966
5693,male,3.5,36,yes,yes,5,3,white,yes,first attempt,1970
5697,female,3.5,36,yes,yes,4,4,white,yes,first attempt,1969
5700,female,3.5,44,yes,yes,3,4,asian,yes,first attempt,1969
5703,female,3.5,42,yes,yes,5,6,white,yes,first attempt,1968
5725,male,3.5,38,yes,yes,2,4,white,yes,first attempt,1963
5735,male,3.5,28,yes,yes,3,5,white,yes,first attempt,1951
5740,male,3.5,38,yes,yes,5,5,white,yes,first attempt,1966
5757,male,3.5,39,yes,yes,4,5,white,yes,first attempt,1965
5765,female,3.5,35,yes,yes,4,5,white,yes,first attempt,1969
